state,season,crop_name,sub_region,pre_emergence_herbicide,pre_em_dose,pre_em_timing_das,post_emergence_herbicide,post_em_dose,post_em_timing_das,manual_weeding_schedule
Andaman and Nicobar Islands,kharif,Rice,,,,,,,,Use cono-weeder for weeding
Andaman and Nicobar Islands,kharif,Arecanut,,,,,,,,Timely weeding and earthing-up; use organic mulching or black polythene to suppress weeds
Andaman and Nicobar Islands,kharif,Cinnamon,,,,,,,,Mulch with locally available dry leaves to suppress weeds
Andhra Pradesh,kharif,paddy,,Pyrazosulfuron-ethyl 10% WP,250,3,,,,
Andhra Pradesh,kharif,paddy,,Pretilachlor + Safener 37% EW,1500,3,Cyhalofop-P-butyl 10% EC,1000,20,
Andhra Pradesh,kharif,paddy,,Butachlor 50% EC,3125,3,Bispyribac Sodium 10% SL,250,20,
Andhra Pradesh,kharif,maize,,Atrazine,2000,0,Tembotrione 34.4% SC + Atrazine 50% WP,,15,
Arunachal Pradesh,kharif,Rice,,,,,,,,Two weedings at 20 and 40 days after transplanting; critical weeding from 15-45 DAS; manual and/or cono weeder
Arunachal Pradesh,kharif,Finger millet,,Atrazine,1.0,,,,,Light hoeing and earthing up as necessary
Arunachal Pradesh,kharif,Maize,,,,,,,,"Two hand weedings: first at 15-20 days, second 15-20 days after first; intercultural operation with tyne-harrow at 30 days"
Arunachal Pradesh,kharif,Black gram,,,,,,,,One weeding at 20-25 days after sowing by khurpi or hoe
Arunachal Pradesh,kharif,Sesame,,,,,,,,One weeding
Assam,kharif,sali rice,,pretilachlor,0.75,3,,,,Two weedings with paddy weeder or hoe at 20 and 40 days after transplanting
Assam,kharif,maize,,simazine,0.75,,,,,Light hoeing and earthing up as needed
Assam,kharif,blackgram,,,,,propaquizafop 2.5% + imazethapyr 3.75% ready mix,125,15,"One weeding at 20 days after sowing by khurpi or hoe, crop thinned simultaneously"
Bihar,kharif,Paddy nursery,,Pyrazosulfuron Ethyl 10 WP,6,,,,,
Bihar,kharif,Pigeonpea/Arhar,,Pendimethalin,1,2,,,,First intercultural operation 20-25 days after sowing; second operation at 40-45 days after sowing
Chhattisgarh,kharif,Rice,,Pretilachlor 50% EC,1500,3,Bispyribac sodium (10%),250,,
Chhattisgarh,kharif,Maize,,,,,Chlorimuron-p-ethyl 10% WP + Metasulfuron-methyl 10% WP,20,,Weeding can be done using plough or harrow in row-sown crops
Chhattisgarh,kharif,Pigeon Pea,,,,,Quazalofop ethyl 5% E.C.,50,,
